'TrafficShaping.certificate_value_off_H12_m2_B5_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B5_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B5_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B6_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B6_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B6_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B7_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B8_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m3_B7_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m4_B9_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H14_m4_B9_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B2_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B2_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B2_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B3_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B3_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B3_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B4_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B4_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B4_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B5_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m2_B6_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m3_B4_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H8_m3_B5_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H10_m3_B7_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H10_m4_B7_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H10_m4_B7_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B2_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B2_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B2_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B3_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B3_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B3_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B4_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B4_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B4_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B5_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B5_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B5_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B6_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B6_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B6_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B7_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m2_B8_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m3_B7_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H12_m4_B9_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H14_m4_B9_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B10_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B11_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B2_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B2_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B2_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B3_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B3_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B3_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B4_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B4_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B4_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B5_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B5_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B5_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B6_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B6_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B6_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B7_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B7_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B7_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B8_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B8_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H16_m2_B9_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B2_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B2_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B2_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B3_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B3_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B3_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B4_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B4_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B4_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B5_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_on_H8_m2_B6_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
